2183,36,23
2182,36,22
2181,36,21
2062,34,22
2005,33,25
2004,33,24
2003,33,23
2002,33,22
1990,33,10
1989,33,9
1945,32,25
1944,32,24
1943,32,23
1942,32,22
1930,32,10
1929,32,9
1889,31,29
1829,30,29
1823,30,23
1821,30,21
1769,29,29
1765,29,25
1761,29,21
1706,28,26
1701,28,21
1694,28,14
1693,28,13
1692,28,12
1646,27,26
1644,27,24
1574,26,14
1573,26,13
1568,26,8
1567,26,7
1529,25,29
1528,25,28
1506,25,6
1469,24,29
1468,24,28
1451,24,11
1449,24,9
1407,23,27
1391,23,11
1390,23,10
1387,23,7
1386,23,6
1385,23,5
1350,22,30
1346,22,26
1329,22,9
1290,21,30
1286,21,26
1271,21,11
1229,20,29
1228,20,28
1227,20,27
1212,20,12
1210,20,10
1152,19,12
1112,18,32
1104,18,24
1091,18,11
1053,17,33
1051,17,31
1045,17,25
1043,17,23
990,16,30
986,16,26
982,16,22
977,16,17
976,16,16
975,16,15
933,15,33
926,15,26
922,15,22
917,15,17
916,15,16
915,15,15
872,14,32
870,14,30
866,14,26
856,14,16
855,14,15
811,13,31
810,13,30
802,13,22
798,13,18
797,13,17
796,13,16
746,12,26
741,12,21
739,12,19
737,12,17
736,12,16
686,11,26
685,11,25
681,11,21
680,11,20
621,10,21
619,10,19
560,9,20
500,8,20
