2963,49,23
2906,48,26
2903,48,23
2846,47,26
2843,47,23
2786,46,26
2783,46,23
2743,45,43
2742,45,42
2729,45,29
2728,45,28
2727,45,27
2726,45,26
2725,45,25
2724,45,24
2723,45,23
2683,44,43
2682,44,42
2680,44,40
2679,44,39
2678,44,38
2677,44,37
2676,44,36
2675,44,35
2674,44,34
2623,43,43
2622,43,42
2609,43,29
2608,43,28
2607,43,27
2606,43,26
2605,43,25
2604,43,24
2603,43,23
2549,42,29
2543,42,23
2489,41,29
2483,41,23
2429,40,29
2423,40,23
2383,39,43
2382,39,42
2369,39,29
2363,39,23
2323,38,43
2322,38,42
2320,38,40
2319,38,39
2318,38,38
2317,38,37
2316,38,36
2315,38,35
2314,38,34
2309,38,29
2308,38,28
2307,38,27
2306,38,26
2305,38,25
2304,38,24
2303,38,23
2263,37,43
2262,37,42
2048,34,8
2047,34,7
2046,34,6
2045,34,5
2042,34,2
2020,33,40
2014,33,34
1988,33,8
1985,33,5
1982,33,2
1960,32,40
1957,32,37
1954,32,34
1928,32,8
1925,32,5
1922,32,2
1900,31,40
1897,31,37
1894,31,34
1868,31,8
1865,31,5
1862,31,2
1840,30,40
1837,30,37
1834,30,34
1829,30,29
1823,30,23
1808,30,8
1805,30,5
1804,30,4
1803,30,3
1802,30,2
1780,29,40
1779,29,39
1778,29,38
1777,29,37
1776,29,36
1775,29,35
1774,29,34
1769,29,29
1766,29,26
1763,29,23
1709,28,29
1706,28,26
1703,28,23
1654,27,34
1649,27,29
1646,27,26
1643,27,23
1597,26,37
1594,26,34
1589,26,29
1588,26,28
1587,26,27
1586,26,26
1585,26,25
1584,26,24
1583,26,23
1579,26,19
1578,26,18
1577,26,17
1576,26,16
1575,26,15
1574,26,14
1573,26,13
1563,26,3
1562,26,2
1561,26,1
1537,25,37
1534,25,34
1519,25,19
1516,25,16
1477,24,37
1474,24,34
1456,24,16
1455,24,15
1454,24,14
1420,23,40
1419,23,39
1418,23,38
1417,23,37
1416,23,36
1415,23,35
1414,23,34
1409,23,29
1408,23,28
1407,23,27
1406,23,26
1405,23,25
1404,23,24
1403,23,23
1394,23,14
1393,23,13
1344,22,24
1322,22,2
1300,21,40
1299,21,39
1298,21,38
1297,21,37
1296,21,36
1295,21,35
1294,21,34
1285,21,25
1279,21,19
1278,21,18
1276,21,16
1275,21,15
1274,21,14
1273,21,13
1262,21,2
1225,20,25
1218,20,18
1217,20,17
1216,20,16
1213,20,13
1208,20,8
1207,20,7
1206,20,6
1205,20,5
1204,20,4
1203,20,3
1202,20,2
1180,19,40
1164,19,24
1157,19,17
1156,19,16
1153,19,13
1142,19,2
1120,18,40
1109,18,29
1108,18,28
1107,18,27
1106,18,26
1105,18,25
1104,18,24
1103,18,23
1097,18,17
1096,18,16
1093,18,13
1082,18,2
1060,17,40
1039,17,19
1038,17,18
1037,17,17
1036,17,16
1035,17,15
1034,17,14
1033,17,13
1000,16,40
940,15,40
939,15,39
938,15,38
937,15,37
936,15,36
935,15,35
934,15,34
929,15,29
928,15,28
927,15,27
926,15,26
925,15,25
924,15,24
923,15,23
913,15,13
908,15,8
902,15,2
866,14,26
863,14,23
853,14,13
848,14,8
845,14,5
842,14,2
806,13,26
803,13,23
799,13,19
798,13,18
797,13,17
796,13,16
795,13,15
794,13,14
793,13,13
788,13,8
785,13,5
782,13,2
746,12,26
743,12,23
733,12,13
728,12,8
725,12,5
722,12,2
689,11,29
688,11,28
687,11,27
686,11,26
685,11,25
684,11,24
683,11,23
673,11,13
668,11,8
667,11,7
666,11,6
665,11,5
664,11,4
663,11,3
662,11,2
509,8,29
508,8,28
507,8,27
506,8,26
503,8,23
488,8,8
449,7,29
446,7,26
443,7,23
428,7,8
389,6,29
386,6,26
383,6,23
368,6,8
329,5,29
323,5,23
308,5,8
269,4,29
268,4,28
267,4,27
266,4,26
265,4,25
264,4,24
263,4,23
248,4,8
247,4,7
246,4,6
245,4,5
244,4,4
243,4,3
242,4,2
